,Title,NSE,Strength,Weakness,Oppurtunity,Threat
408,Sterlite Techno,STLTECH,"['Promoters increasing shareholding QoQ', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding']","['MFs decreased their shareholding last quarter', 'Inefficient use of assets to generate profits - ROA declining in the last 2 years', 'Degrowth in Revenue and Profit', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Declining Net Cash Flow : Companies not able to generate net cash', 'Major fall in TTM Net Profit', 'Fall in Quarterly Revenue and Net Profit (YoY)', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)']","['Rising Delivery Percentage Compared to Previous Day and Month, Strong Volumes', 'Brokers upgraded recommendation or target price in the past three months', 'Negative to Positive growth in Sales and Profit with Strong Price momentum', 'Highest Recovery from 52 Week Low', 'Insiders bought stocks']",None
409,Strides Pharma,STAR,"['Company reducing Debt', 'Increasing Revenue every quarter for the past 2 quarters', 'Company with decreasing Promoter pledge', 'FII / FPI or Institutions increasing their shareholding']","['MFs decreased their shareholding last quarter', 'Inefficient use of shareholder funds - ROE declining in the last 2 years', 'Inefficient use of assets to generate profits - ROA declining in the last 2 years', 'Decline in Net Profit with falling Profit Margin (QoQ)', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Promoter decreasing their shareholding', 'Declining Net Cash Flow : Companies not able to generate net cash', 'Annual net profit declining for last 2 years', 'Major fall in TTM Net Profit', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)']","['Brokers upgraded recommendation or target price in the past three months', 'Highest Recovery from 52 Week Low', 'Insiders bought stocks']","['Red Flags: Firms linked to ongoing regulatory investigations/legal cases', 'Increasing Trend in Non-Core Income', 'Insiders sold stocks']"
410,Sudarshan Chem,SUDARSCHEM,"['Rising Net Cash Flow and Cash from Operating activity', 'Effectively using Shareholders fund - Return on equity (ROE) improving since last 2 year', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Annual Net Profits improving for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding']","['Companies with growing costs YoY for long term projects', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)']",['Negative to Positive growth in Sales and Profit with Strong Price momentum'],['Increasing Trend in Non-Core Income']
411,SUMITOMO,SUMICHEM,"['Rising Net Cash Flow and Cash from Operating activity', 'Company with high TTM EPS Growth', 'Efficient in managing Assets to generate Profits - ROA improving since last 2 year', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Growth in Quarterly Net Profit with increasing Profit Margin (YoY)', 'Company with No Debt', 'Increasing profits every quarter for the past 3 quarters', 'Increasing Revenue every quarter for the past 2 quarters', 'Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years', 'Annual Net Profits improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding', 'Recent Results : Growth in Operating Profit with increase in operating margins (YoY)', 'Companies with rising net profit margins - quarterly as well as TTM basis']","['Companies with growing costs YoY for long term projects', 'Promoter holding decreased by more than -2% QoQ', 'MACD Crossover Below Signal Line', 'Promoter decreasing their shareholding', 'Book Value Per Share deteriorating for last 2 years']",['RSI indicating price strength'],"['Increasing Trend in Non-Core Income', 'Stocks with high PE (PE > 40)']"
412,Sun Pharma,SUNPHARMA,"['High Piotroski Score - Companies with strong financials', 'Effectively using Shareholders fund - Return on equity (ROE) improving since last 2 year', 'Efficient in managing Assets to generate Profits - ROA improving since last 2 year', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Growth in Quarterly Net Profit with increasing Profit Margin (YoY)', 'Company with Low Debt', 'Annual Net Profits improving for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with decreasing Promoter pledge', 'FII / FPI or Institutions increasing their shareholding', 'Strong Momentum: Price above short, medium and long term moving averages']","['Declining Net Cash Flow : Companies not able to generate net cash', 'Major fall in TTM Net Profit']","['Brokers upgraded recommendation or target price in the past three months', 'Turnaround companies- loss to profit QoQ', 'Negative to Positive growth in Sales and Profit with Strong Price momentum', 'RSI indicating price strength']","['Recent Broker Downgrades in Reco or Target Price', 'Red Flags: Firms linked to ongoing regulatory investigations/legal cases', 'Increasing Trend in Non-Core Income', 'Stocks with high PE (PE > 40)']"
413,Sun Pharma Adv,SPARC,"['Stock passes majority of CANSLIM Investment criteria', 'Effectively using Shareholders fund - Return on equity (ROE) improving since last 2 year', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Increasing Revenue every quarter for the past 3 quarters', 'FII / FPI or Institutions increasing their shareholding']","['Low Piotroski Score : Companies with weak financials', 'Declining Net Cash Flow : Companies not able to generate net cash']","['Rising Delivery Percentage Compared to Previous Day and Month, Strong Volumes', 'Positive Breakout First Resistance ( LTP > R1)', 'Turnaround companies- loss to profit QoQ', 'Highest Recovery from 52 Week Low', 'Stock with Low PE (PE < = 10)']",None
414,Sun TV Network,SUNTV,"['Growth in Net Profit with increasing Profit Margin (QoQ)', 'Company with No Debt', 'Book Value per share Improving for last 2 years', 'FII / FPI or Institutions increasing their shareholding', 'High dividends, with rising dividend yields over last five years']","['Companies with growing costs YoY for long term projects', 'MACD Crossover Below Signal Line', 'MFs decreased their shareholding last quarter', 'Degrowth in Revenue and Profit', 'Decline in Quarterly Net Profit (YoY)', 'Declining Revenue every quarter for the past 2 quarters', 'Declining Net Cash Flow : Companies not able to generate net cash', 'Fall in Quarterly Revenue and Net Profit (YoY)']","['Companies with current TTM PE Ratio less than 3 Year, 5 Year and 10 Year PE', 'Results Screener: Stocks with upcoming results which are seeing positive shifts in share price']","['Red Flags: Firms linked to ongoing regulatory investigations/legal cases', 'Increasing Trend in Non-Core Income']"
415,Sundram,SUNDRMFAST,"['Rising Net Cash Flow and Cash from Operating activity', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Company with Low Debt', 'Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding', 'Strong Momentum: Price above short, medium and long term moving averages']","['Inefficient use of capital to generate profits - RoCE declining in the last 2 years', 'Inefficient use of shareholder funds - ROE declining in the last 2 years', 'Inefficient use of assets to generate profits - ROA declining in the last 2 years', 'Degrowth in Revenue and Profit', 'Major fall in TTM Net Profit']","['Turnaround companies- loss to profit QoQ', 'Negative to Positive growth in Sales and Profit with Strong Price momentum', 'RSI indicating price strength']",['Stocks with high PE (PE > 40)']
416,Sunteck Realty,SUNTECK,"['Growth in Net Profit with increasing Profit Margin (QoQ)', 'Company with Low Debt', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding']","['Inefficient use of capital to generate profits - RoCE declining in the last 2 years', 'Inefficient use of shareholder funds - ROE declining in the last 2 years', 'Inefficient use of assets to generate profits - ROA declining in the last 2 years', 'Degrowth in Revenue and Profit', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Declining Revenue every quarter for the past 2 quarters', 'Low Piotroski Score : Companies with weak financials', 'Declining Net Cash Flow : Companies not able to generate net cash', 'Major fall in TTM Net Profit', 'Fall in Quarterly Revenue and Net Profit (YoY)', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)']","['Rising Delivery Percentage Compared to Previous Day and Month, Strong Volumes']","['Increasing Trend in Non-Core Income', 'Stocks with high PE (PE > 40)']"
417,Suprajit Eng,SUPRAJIT,"['Company with Low Debt', 'Company able to generate Net Cash - Improving Net Cash Flow for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding']","['Inefficient use of capital to generate profits - RoCE declining in the last 2 years', 'Inefficient use of shareholder funds - ROE declining in the last 2 years', 'Inefficient use of assets to generate profits - ROA declining in the last 2 years', 'Degrowth in Revenue and Profit', 'Decline in Net Profit with falling Profit Margin (QoQ)', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Declining profits every quarter for the past 3 quarters', 'Declining Revenue every quarter for the past 2 quarters', 'Annual net profit declining for last 2 years', 'Major fall in TTM Net Profit', 'Fall in Quarterly Revenue and Net Profit (YoY)', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)']","['Brokers upgraded recommendation or target price in the past three months', 'Positive Breakout First Resistance ( LTP > R1)']","['Profit to Loss Companies', 'Degrowth in Revenue, Profits and Operating Profit Margin in recent results (QoQ)', 'Increasing Trend in Non-Core Income']"
418,Supreme Ind,SUPREMEIND,"['MACD Crossover Above Signal Line', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Growth in Quarterly Net Profit with increasing Profit Margin (YoY)', 'Company with Low Debt', 'Company able to generate Net Cash - Improving Net Cash Flow for last 2 years', 'Annual Net Profits improving for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding', 'Near 52 Week High', 'Strong Momentum: Price above short, medium and long term moving averages']","['Inefficient use of capital to generate profits - RoCE declining in the last 2 years', 'Inefficient use of shareholder funds - ROE declining in the last 2 years', 'Inefficient use of assets to generate profits - ROA declining in the last 2 years']","['Brokers upgraded recommendation or target price in the past three months', 'Negative to Positive growth in Sales and Profit with Strong Price momentum']",['Stocks with high PE (PE > 40)']
